id,Answer
0,B
1,"A,B,C,E"
2,"A,D"
3,"A,D"
4,B
5,"A,C,E"
6,"B,C,D"
7,"A,D"
8,"B,D,E"
9,"A,B,C,D"
10,D
11,"B,C"
12,C
13,"B,C,D"
14,A
15,"C,D,E"
16,"A,C"
17,"B,D,E"
18,"B,C,E"
19,"A,C,E"
20,"A,C,D,E"
21,"B,C,D,E"
22,"B,E"
23,"B,D"
24,"B,D,E"
25,"B,D,E"
26,"D,E"
27,"A,E"
28,B
29,D
30,"B,C,E"
31,E
32,"B,D,E"
33,"B,C"
34,"D,E"
35,"B,D,E"
36,"B,D"
37,"A,C,D"
38,"A,B,E"
39,"A,C,E"
40,"A,C"
41,"C,E"
42,"C,D,E"
43,C
44,"A,C,E"
45,C
46,"B,C,D"
47,"B,C"
48,"B,D"
49,B
50,"A,C,E"
51,B
52,"A,B"
53,"A,C,D"
54,"A,D,E"
55,D
56,"A,B,C,E"
57,"A,C,D"
58,"A,C"
59,"B,E"
60,"B,D,E"
61,"A,D"
62,"A,B,C"
63,"B,D,E"
64,"B,E"
65,"B,D,E"
66,"B,E"
67,B
68,"B,C"
69,"A,D"
70,"B,E"
71,"C,E"
72,"C,E"
73,"A,C,E"
74,B
75,"B,E"
76,"C,D"
77,"A,D"
78,E
79,"C,E"
80,"A,D,E"
81,"B,D"
82,"A,D"
83,"B,D,E"
84,"A,B,E"
85,"C,E"
86,"A,B,C,D"
87,"B,C,D,E"
88,"A,C,E"
89,"C,D"
90,"A,D"
91,A
92,"B,E"
93,"A,C,E"
94,"B,D"
95,D
96,"A,B"
97,"A,D"
98,A
99,"A,D"
100,"B,C"
101,B
102,"A,C,D,E"
